PermitType,PermitTypeDesc,PermitNum,PermitClass,WorkClass,Condominium,ProjectName,Description,TCAD_ID,PropertyLegalDescription,AppliedDate,IssuedDate,DayIssued,CalendarYearIssued,FiscalYearIssued,IssuedInLast30Days,IssuanceMethod,StatusCurrent,ExpiresDate,CompletedDate,TotalExistingBldgSQFT,RemodelRepairSQFT,TotalNewAddSQFT,TotalValuationRemodel,TotalJobValuation,NumberOfFloors,HousingUnits,BuildingValuation,BuildingValuationRemodel,ElectricalValuation,ElectricalValuationRemodel,MechanicalValuation,MechanicalValuationRemodel,PlumbingValuation,PlumbingValuationRemodel,MedGasValuation,MedGasValuationRemodel,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,CouncilDistrict,Jurisdiction,Link,ProjectID,Latitude,Longitude,Location
PP,Plumbing Permit,2018-002129 PP,Residential,Repair,No,4508 AVENUE G,Replace sewer yard line only,0221080119,LOT 20 BLK 2 HYDE PARK ANNEX,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,1380,,,,1,1,,,,,,,,$3500.00,,,4508 AVENUE G,AUSTIN,TX,78751,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847143,11847143,30.30847623,-97.72629733,"(30.30847623, -97.72629733)"
PP,Plumbing Permit,2018-002114 PP,Residential,Change Out,No,2202 TOWNES LN,Replacement of an existing water heater,0116030109,LOT 167  W 25 FT OF LOT 168 TARRY TOWN NO 6,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,,,,,,,,,,$4500.00,,,2202 TOWNES LN,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847128,11847128,30.29652297,-97.76195647,"(30.29652297, -97.76195647)"
PP,Plumbing Permit,2018-002091 PP,Residential,Change Out,No,7404 FERN CV,Replacement of an existing water heater,0147130142,LOT 4 BLK A JESTER POINT 2 SEC 4,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,,,,,,,,,,$2500.00,,,7404 FERN CV,AUSTIN,TX,78750,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847097,11847097,30.37873912,-97.80012639,"(30.37873912, -97.80012639)"
PP,Plumbing Permit,2018-002084 PP,Residential,Change Out,No,6105 RICKERHILL LN,Replacement of an existing water heater,0424441808,LOT 4 BLK EE CIRCLE C RANCH PHS B SEC 3,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,,,,,,,,,,$1500.00,,,6105 RICKERHILL LN,AUSTIN,TX,78739,8,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847089,11847089,30.18775364,-97.89033527,"(30.18775364, -97.89033527)"
MP,Mechanical Permit,2018-002082 MP,Residential,Change Out,No,1204 GROSVENER CT,Replacement or addition to an existing unit of up to four supply or return duct runs,0107130724,LOT 32 BLK A TREEMONT PHS B SEC 5,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,,,,,,,,$2000.00,,,,,1204 GROSVENER CT,AUSTIN,TX,78746,8,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847087,11847087,30.26846094,-97.79698402,"(30.26846094, -97.79698402)"
PP,Plumbing Permit,2018-002074 PP,Residential,Repair,No,3306 WERNER AVE,repairreplace water line in yard from house to meter,0215090526,LOT 19 BLK 5 OLT 29 DIV C UNIVERSITY PARK SUBD,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,0,,,,0,1,,,,,,,,$7000.00,,,3306 WERNER AVE,AUSTIN,TX,78722,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11847079,11847079,30.29034231,-97.71950416,"(30.29034231, -97.71950416)"
PP,Plumbing Permit,2018-001788 PP,Residential,Repair,No,720 E 32ND ST,Repairreplace water yard line due to deteriorating galvanized pipe,0215060319,LOT 1718  E 12FT LOT 16 OLT 7 DIV C STARK SUBD,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,0,,,,1,1,,,,,,,,$2000.00,,,720 E 32ND ST,AUSTIN,TX,78705,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11846765,11846765,30.29247126,-97.72937603,"(30.29247126, -97.72937603)"
EP,Electrical Permit,2018-001741 EP,Residential,Repair,No,9413 NORTH CREEK DR,Power kill required for electrical tie in,0240170906,LOT 6 BLK A NORTH CREEK,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,0,,,,1,1,,,,$33075.00,,,,,,,9413 NORTH CREEK DR,AUSTIN,TX,78753,4,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11846715,11846715,30.36098059,-97.69095472,"(30.36098059, -97.69095472)"
BP,Building Permit,2018-001703 BP,R- 435 Renovations/Remodel,Repair,No,10909 RANGE VIEW DR,replace exterior door to existing sfr,0143360226,LOT 14 BLK A RIVER PLACE SEC 10,2018/01/05,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,100,,$100.00,$100.00,1,1,,$100.00,,$0.00,,$0.00,,$0.00,,,10909 RANGE VIEW DR,AUSTIN,TX,78730,6,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11846670,11846670,30.37184625,-97.86413188,"(30.37184625, -97.86413188)"
EP,Electrical Permit,2018-001666 EP,Residential,Auxiliary Power,No,1305 W 22ND ST,Residential Solar PV Installation  Additional panels to existing system,0113000339,LOT 13 BLK 4 OLT 2628 DIV D CARRINGTON SUBD,2018/01/04,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,1,1,,,,$3960.00,,,,,,,1305 W 22ND ST,AUSTIN,TX,78705,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11846630,11846630,30.28552822,-97.75215899,"(30.28552822, -97.75215899)"
PP,Plumbing Permit,2018-001594 PP,Commercial,Repair,No,2838 MONTEBELLO RD UNIT 18,Replacement of existing water heater,0107110708,LOT 1 BLK G PARKLANE AT TREEMONT,2018/01/04,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,0,,,,,,,,$0.00,$900.00,,,2838 MONTEBELLO RD UNIT 18,AUSTIN,TX,78746,8,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11846555,11846555,30.2679728,-97.7916421,"(30.2679728, -97.7916421)"
BP,Building Permit,2018-001560 BP,R- 435 Renovations/Remodel,Remodel,No,3502 BALCONES DR,Fence replacement at NE end of property Replace 2 sections of chain link fence with 8ft wood panel with 3ft gap below panel total height 11ft Replace another section of wood fence panel currently 5ft with one 8ft section of wood panel with 3ft gap below panel total screen height of 9ft,0123050406,N 98FT OF LOT 12 BLK 2 COLORADO FOOTHILLS SEC 1,2017/12/08,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,0,1,$0.00,$1000.00,1,1,,$0.00,,$0.00,,$0.00,,$0.00,,,3502 BALCONES DR,AUSTIN,TX,78731,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11846501,11846501,30.31470064,-97.76817037,"(30.31470064, -97.76817037)"
PP,Plumbing Permit,2018-001552 PP,Residential,Change Out,No,5505 FERNVIEW RD UNIT 2,Replacement of an existing water heater,0412131606,LOT 3 BLK C CHERRY CREEK VII,2018/01/04,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,,,,,,,,,,$1000.00,,,5505 FERNVIEW RD UNIT 2,AUSTIN,TX,78745,5,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11846493,11846493,30.21874428,-97.80271044,"(30.21874428, -97.80271044)"
BP,Building Permit,2018-001377 BP,R- 101 Single Family Houses,New,No,13013 ZEN VILLA DR,New 2story singlefamily residence attached garage covered entry porch and patio PRODUCTION BUILDER,0431570501,ABS 2159 SUR 11 CADY J D ABS 2301 SUR 43 HUDSON C W ACR 1128073 1D1W 60182AC IN TRAVIS CO,2017/10/24,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,3691,,$216825.00,2,1,,,,,,,,,,,13013 ZEN VILLA DR,AUSTIN,TX,78652,8,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11846278,11846278,30.168014,-97.91751322,"(30.168014, -97.91751322)"
EP,Electrical Permit,2018-001231 EP,C- 105 Five or More Family Bldgs,New,No,1614 E 6TH ST,New Construction of Multi Family,0204080517,LOT 48 OLT 5 DIV A MCFALLS J K P SUBD,2016/07/22,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/04,,,,114101,,,5,115,,,$0.00,,,,,,,,1614 E 6TH ST,AUSTIN,TX,78702,3,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11846080,11846080,30.26286543,-97.7253998,"(30.26286543, -97.7253998)"
BP,Building Permit,2018-001150 BP,C-1000 Commercial Remodel,Remodel,No,3443 ED BLUESTEIN BLVD NB BLDG D,interior remodel to existing office space,0209260701,LOT 1AB MOTOROLA INC ED BLUESTEIN FACILITY RSB OF LOT 1A RSB OF LT 1,2018/01/03,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,44757,,$0.00,,4,0,,$0.00,,$0.00,,$0.00,,$0.00,,$0.00,3443 ED BLUESTEIN BLVD NB BLDG D,AUSTIN,TX,78725,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11845961,11845961,30.26984183,-97.66813197,"(30.26984183, -97.66813197)"
BP,Building Permit,2018-001140 BP,R- 645 Demolition One Family Homes,Demolition,No,2102 DE VERNE ST,total demo of home circa 1954,0100080708,LOT 11 BLK 2 RABB INWOOD HILLS,2017/12/22,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2020/01/10,,1148,,,,$8000.00,1,1,,,,,,,,,,,2102 DE VERNE ST,AUSTIN,TX,78704,5,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11845947,11845947,30.24953188,-97.77808743,"(30.24953188, -97.77808743)"
BP,Building Permit,2018-001133 BP,R- 101 Single Family Houses,New,No,5812 LEHMAN WAY,New 2story singlefamily residence attached garage covered entry porch and rear patio  PRODUCTION BUILDER,0445051628,LOT 27 BLK J LEGENDS WAY SEC 5,2017/12/12,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,3762,,$282150.00,2,1,,,,,,,,,,,5812 LEHMAN WAY,AUSTIN,TX,78747,2,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11845940,11845940,30.13246918,-97.77208481,"(30.13246918, -97.77208481)"
BP,Building Permit,2018-001130 BP,R- 101 Single Family Houses,New,No,5816 LEHMAN WAY,New 1story singlefamily residence attached garage covered entry porch and rear patio  PRODUCTION BUILDER,0445051627,LOT 26 BLK J LEGENDS WAY SEC 5,2017/12/12,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,2555,,$191625.00,1,1,,,,,,,,,,,5816 LEHMAN WAY,AUSTIN,TX,78747,2,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11845933,11845933,30.13236443,-97.77193571,"(30.13236443, -97.77193571)"
BP,Building Permit,2018-001090 BP,R- 435 Renovations/Remodel,Repair,No,2703 MULFORD CV,foundation repair,0307020453,LOT 22 GREENBRIAR SEC 4,2018/01/03,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,1,,$19475.00,$19475.00,1,1,,$19475.00,,$0.00,,$0.00,,$0.00,,,2703 MULFORD CV,AUSTIN,TX,78741,3,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11845880,11845880,30.22827792,-97.74183414,"(30.22827792, -97.74183414)"
BP,Building Permit,2018-001083 BP,R- 435 Renovations/Remodel,Repair,No,618 KINGFISHER CREEK DR,replace existing windows,0438190811,LOT 23 BLK Z TEXAS OAKS 10,2017/12/29,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,1,,$8382.00,$8382.00,1,1,,$8382.00,,$0.00,,$0.00,,$0.00,,,618 KINGFISHER CREEK DR,AUSTIN,TX,78748,5,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11845872,11845872,30.1510004,-97.81489571,"(30.1510004, -97.81489571)"
EP,Electrical Permit,2018-001077 EP,Residential,Repair,No,1713 E 40TH ST,Power Kill Required for electrical Tie in,0215120801,LOT 1 BLK G WILLOW BROOK,2018/01/03,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,0,,,,1,1,,,,$750.00,,,,,,,1713 E 40TH ST,AUSTIN,TX,78722,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11845866,11845866,30.29271336,-97.71116794,"(30.29271336, -97.71116794)"
EP,Electrical Permit,2018-001076 EP,Residential,Auxiliary Power,No,1713 E 40TH ST,60kWAC 66kWDC PV rooftop install422 sqft,0215120801,LOT 1 BLK G WILLOW BROOK,2018/01/03,2018/01/10,WEDNESDAY,2018,2018,Yes,Permit Center,Active,2018/07/09,,,,,,,1,1,,,,$34650.00,,,,,,,1713 E 40TH ST,AUSTIN,TX,78722,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11845865,11845865,30.29271336,-97.71116794,"(30.29271336, -97.71116794)"
